,bean,usdc,delta_B
0,10050.0,9950.0,50.0
1,10150.0,9850.746342546476,149.25365745352428
2,10250.0,9751.244273814014,248.75572618598562
3,10349.0,9652.732917252422,347.26708274757766
4,10448.0,9554.222487659428,445.7775123405718
5,10546.0,9456.703352824472,543.296647175528
6,10644.0,9359.185694252013,640.8143057479865
7,10742.0,9261.66978079749,738.3302192025094
8,10838.0,9166.136050404315,833.863949595685
9,10933.0,9071.594663240063,928.4053367599372
10,11028.0,8977.055755238873,1022.9442447611273
